"id","name","image","parent_id","position","status","created_at","updated_at","priority","slug"
"1","Pizzas","2025-07-09-686e4f7d53aaf.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:46:13","0","Pizzas"
"2","Indian Snacks","2025-07-09-686e4f9cb767f.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:46:44","0","Indian-Snacks"
"3","Chaat","2025-07-09-686e4fd11af75.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:47:37","0","Chaat"
"4","Shakes/Crush","2025-07-09-686e4fdcd75a8.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:47:48","0","Shakes/Crush"
"5","Soups","2025-07-09-686e51649199a.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:54:20","0","Soups"
"6","Mocktails / Smoothies","2025-07-09-686e500065eca.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:48:24","0","Mocktails-/-Smoothies"
"7","Chinese","2025-07-09-686e5016cfb9d.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:48:46","0","Chinese"
"8","Continental","2025-07-09-686e5143f06c9.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:53:47","0","Continental"
"9","Thali","2025-07-09-686e50271c87f.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:49:03","0","Thali"
"10","Rice","2025-07-09-686e5032e895a.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:49:14","0","Rice"
"11","Raita / Salad","2025-07-09-686e5044e6299.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:49:32","0","Raita-/-Salad"
"12","Ice Cream","2025-07-09-686e505c65610.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:49:56","0","Ice-Cream"
"13","Sweets / Desserts","2025-07-09-686e507a64007.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:50:26","0","Sweets-/-Desserts"
"14","Beverages","2025-07-09-686e5088d3a36.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:50:40","0","Beverages"
"15","Breakfast","2025-07-09-686e51e7e475f.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:56:31","0","Breakfast"
"16","Noodles","2025-07-09-686e510b5b40d.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:52:51","0","Noodles"
"17","Veg Tandoori Items","2025-07-09-686e51579b378.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:54:07","0","Veg-Tandoori-Items"
"18","Nibbles Hurry Up","2025-07-09-686e521fc5ade.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:57:27","0","Nibbles-Hurry-Up"
"19","Indian Course Veg","2025-07-09-686e5130d9a21.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:53:28","0","Indian-Course-Veg"
"20","Bread Station","2025-07-09-686e511c55626.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:53:08","0","Bread-Station"
"21","Shaan - E - Basmati","2025-07-09-686e517a34f9d.png","0","0","1","2025-07-09 10:51:45","2025-07-09 16:54:42","0","Shaan---E---Basmati"
